date_time,traffic_volume,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description
2020-01-01 00:00:00,2648,279.29464748676406,0.0,0.0,27,Clear,clear sky
2020-01-01 01:00:00,2330,275.9661242489753,0.9134795602066818,0.0,96,Rain,light rain
2020-01-01 02:00:00,2723,274.7836104862944,0.0,0.0,4,Clear,clear sky
2020-01-01 03:00:00,3161,284.9471688130382,0.0,0.0,8,Clear,clear sky
2020-01-01 04:00:00,2282,277.57273112435,0.0,0.0,25,Fog,fog
2020-01-01 05:00:00,2282,276.83837845578785,0.0,0.0,36,Clouds,overcast clouds
2020-01-01 06:00:00,4389,286.3962706953029,0.0,0.0,23,Clear,clear sky
2020-01-01 07:00:00,5783,278.0326740179292,0.0,0.0,91,Mist,mist
2020-01-01 08:00:00,5165,269.1011221800944,0.0,0.0,97,Clear,few clouds
2020-01-01 09:00:00,5671,281.1023443726916,0.0,0.0,0,Mist,mist
2020-01-01 10:00:00,3368,277.2542055556722,0.0,0.0,16,Clear,few clouds
2020-01-01 11:00:00,3367,276.38669555354653,0.0,0.9840823258733009,69,Snow,light snow
2020-01-01 12:00:00,3720,279.3044675448794,0.0,0.0,63,Clear,clear sky
2020-01-01 13:00:00,2643,269.7618372533447,1.3429851183963728,0.0,79,Drizzle,light drizzle
2020-01-01 14:00:00,2737,270.7039595544855,0.0,0.0,84,Clouds,scattered clouds
2020-01-01 15:00:00,3318,277.6992087389444,0.0,0.0,18,Clear,clear sky
2020-01-01 16:00:00,3093,282.80548857979596,0.0,2.034238045853012,68,Snow,light snow
2020-01-01 17:00:00,5557,278.68450145043965,0.0,0.0,81,Clear,few clouds
2020-01-01 18:00:00,4945,278.4672508843346,2.4412286057090435,0.0,51,Rain,moderate rain
2020-01-01 19:00:00,4693,279.9910396454224,0.0,0.0,79,Clouds,overcast clouds
2020-01-01 20:00:00,4332,284.45045545886995,3.4569559324593175,0.0,52,Rain,moderate rain
2020-01-01 21:00:00,3487,280.1956374251686,0.0,0.0,70,Clear,few clouds
2020-01-01 22:00:00,3633,279.7460120460021,1.1330786758175881,0.0,38,Drizzle,drizzle
2020-01-01 23:00:00,2887,277.2183300857511,0.0,0.0,55,Clouds,overcast clouds
2020-01-02 00:00:00,2127,278.05293839979197,0.0,0.0,45,Clear,clear sky
2020-01-02 01:00:00,2455,280.895684732775,0.0,0.0,67,Clear,few clouds
2020-01-02 02:00:00,1824,286.57629714178256,0.4550512156157774,0.0,9,Rain,moderate rain
2020-01-02 03:00:00,2587,281.1883696470011,0.0,0.07610993051521386,23,Snow,snow
2020-01-02 04:00:00,2099,275.9291024044118,2.8910841900107096,0.0,85,Rain,moderate rain
2020-01-02 05:00:00,2254,278.49704070781826,0.0,0.0,14,Clear,clear sky
2020-01-02 06:00:00,3299,285.5389010630952,0.0,0.0,34,Clear,few clouds
2020-01-02 07:00:00,6326,280.39032026538223,0.0,0.0,57,Clouds,broken clouds
2020-01-02 08:00:00,5393,273.0838546825319,0.0,0.0,21,Clear,clear sky
2020-01-02 09:00:00,4871,282.16906931173673,0.0,0.0,49,Clear,clear sky
2020-01-02 10:00:00,4011,276.78111830162095,0.0,0.0,25,Clouds,broken clouds
2020-01-02 11:00:00,2989,274.2547628867806,0.0,0.0,63,Clear,clear sky
2020-01-02 12:00:00,3704,280.42323859951296,0.0,0.0,43,Clear,few clouds
2020-01-02 13:00:00,2620,275.7935790998207,0.0,0.0,33,Clear,clear sky
2020-01-02 14:00:00,2935,284.06305799180757,0.0,0.0,56,Clouds,broken clouds
2020-01-02 15:00:00,3698,280.45023321421843,0.13589915364745309,0.0,17,Rain,moderate rain
2020-01-02 16:00:00,3969,286.7195305834273,1.7495823987386063,0.0,71,Rain,light rain
